AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;ArmandoReye-2023-10-12--01-04-50
Method;
Comentarios;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99100919
Last_SST;8/18/2023 9:12:00 AM +00:00
User_Name;administrator
Measurement_Started;10/12/2023 1:04:50 AM
Measurement_Finished;10/12/2023 1:06:02 AM
Measurement_Saved;10/12/2023 1:06:02 AM
Wavelength;785
Laser_Power;450
Auto_Exposure;True
Exposure_Time;10000
Averaged_Spectra;3
Probe_Type;Microwave Probe (785 nm)
Probe_SN;99117511
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;False
Baseline_Correction;True
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;0.94
Quality_Temperature;False
[SPECTRUM]
100.00;-429.43
102.00;-278.43
104.00;-96.72
106.00;77.22
108.00;238.55
110.00;411.78
112.00;591.87
114.00;781.85
116.00;959.52
118.00;1126.05
120.00;1294.94
122.00;1453.44
124.00;1604.93
126.00;1753.25
128.00;1874.05
130.00;1988.24
132.00;2083.72
134.00;2171.68
136.00;2252.64
138.00;2323.04
140.00;2393.07
142.00;2453.56
144.00;2501.43
146.00;2544.08
148.00;2575.71
150.00;2609.42
152.00;2647.97
154.00;2674.24
156.00;2682.03
158.00;2696.74
160.00;2727.43
162.00;2723.96
164.00;2714.82
166.00;2721.23
168.00;2717.57
170.00;2701.91
172.00;2681.74
174.00;2655.04
176.00;2629.10
178.00;2604.59
180.00;2567.41
182.00;2538.56
184.00;2496.30
186.00;2451.72
188.00;2401.14
190.00;2348.46
192.00;2294.44
194.00;2241.39
196.00;2190.65
198.00;2134.57
200.00;2094.73
202.00;2043.56
204.00;1970.02
206.00;1925.55
208.00;1873.00
210.00;1820.12
212.00;1777.49
214.00;1733.34
216.00;1697.57
218.00;1668.40
220.00;1638.68
222.00;1604.28
224.00;1571.77
226.00;1554.12
228.00;1527.57
230.00;1504.98
232.00;1479.56
234.00;1455.01
236.00;1444.04
238.00;1406.32
240.00;1363.10
242.00;1346.73
244.00;1313.66
246.00;1272.52
248.00;1242.43
250.00;1205.12
252.00;1162.42
254.00;1127.56
256.00;1091.72
258.00;1048.58
260.00;996.77
262.00;967.46
264.00;936.38
266.00;893.73
268.00;861.33
270.00;833.75
