AP Cora 5001
Software_Version;1.4.1
[SAMPLE]
Sample_Name;punto inicial Dr A. Reyes
Method;
Comentarios;
[PARAMETERS]
Instrument_Type;Cora 5001
Instrument_SN;99100919
Last_SST;8/18/2023 9:12:00 AM +00:00
User_Name;administrator
Measurement_Started;10/12/2023 1:13:42 AM
Measurement_Finished;10/12/2023 1:14:23 AM
Measurement_Saved;10/12/2023 1:15:00 AM
Wavelength;785
Laser_Power;450
Auto_Exposure;True
Exposure_Time;10000
Averaged_Spectra;1
Probe_Type;Microwave Probe (785 nm)
Probe_SN;99117511
Dark_Background;True
User_Background_Spectrum;
Spike_Removal;False
Baseline_Correction;True
Smoothing;False
Normalization;None
[SPECTRUM QUALITY]
Quality_Saturation;False
Quality_SBR;0.93
Quality_Temperature;False
[SPECTRUM]
100.00;-342.18
102.00;-214.41
104.00;-73.88
106.00;64.05
108.00;192.92
110.00;342.35
112.00;482.29
114.00;615.96
116.00;756.07
118.00;894.51
120.00;1026.76
122.00;1156.93
124.00;1301.77
126.00;1409.20
128.00;1524.48
130.00;1620.41
132.00;1712.72
134.00;1807.09
136.00;1886.11
138.00;1945.97
140.00;2011.78
142.00;2069.92
144.00;2111.83
146.00;2161.87
148.00;2208.06
150.00;2263.90
152.00;2312.32
154.00;2337.56
156.00;2391.85
158.00;2399.32
160.00;2434.59
162.00;2457.46
164.00;2466.31
166.00;2463.99
168.00;2471.77
170.00;2495.66
172.00;2511.79
174.00;2519.50
176.00;2493.95
178.00;2472.08
180.00;2475.28
182.00;2450.95
184.00;2435.98
186.00;2437.97
188.00;2391.14
190.00;2351.48
192.00;2329.05
194.00;2314.44
196.00;2270.46
198.00;2238.17
200.00;2203.38
202.00;2158.81
204.00;2133.91
206.00;2097.79
208.00;2074.97
210.00;2051.90
212.00;2034.47
214.00;2014.50
216.00;1999.74
218.00;1976.97
220.00;1957.58
222.00;1946.11
224.00;1930.24
226.00;1919.81
228.00;1908.23
230.00;1917.59
232.00;1912.73
234.00;1879.14
236.00;1864.23
238.00;1846.53
240.00;1824.43
242.00;1816.19
244.00;1796.46
246.00;1781.88
248.00;1750.37
250.00;1706.37
252.00;1701.91
254.00;1668.24
256.00;1638.94
258.00;1593.85
260.00;1561.85
262.00;1547.39
264.00;1515.83
266.00;1473.22
268.00;1442.36
270.00;1439.46
272.00;1413.02
274.00;1378.27
276.00;1373.86
278.00;1350.75
280.00;1339.03
282.00;1335.73
284.00;1346.12
286.00;1336.52
288.00;1323.68
290.00;1344.34
292.00;1343.34
294.00;1360.15
296.00;1360.41
298.00;1342.37
300.00;1349.32
302.00;1347.45
304.00;1342.58
306.00;1343.41
308.00;1330.46
310.00;1342.96
312.00;1332.76
314.00;1294.01
316.00;1287.95
318.00;1273.74
320.00;1267.18
322.00;1247.22
324.00;1225.42
326.00;1175.54
328.00;1139.73
330.00;1142.60
332.00;1105.48
334.00;1079.90
336.00;1059.25
338.00;1033.06
340.00;1010.28
342.00;971.78
344.00;942.15
346.00;921.40
348.00;903.92
350.00;884.55
352.00;861.46
354.00;855.88
356.00;851.28
358.00;842.62
360.00;834.56
362.00;830.26
364.00;822.77
366.00;815.84
368.00;831.79
370.00;820.65
372.00;809.28
374.00;826.59
376.00;829.99
378.00;825.81
380.00;813.38
382.00;815.42
384.00;825.14
386.00;822.48
