#Acq. time (s)=	15
#Accumulations=	3
#Range (cm-¹)=	50...1300
#Windows=	2
#Autofocus=	Off
#AutoExposure=	Off
#Spike filter=	Multiple accum.
#Delay time (s)=	0
#Binning=	1
#Readout mode=	Signal
#DeNoise=	Off
#ICS correction=	Off
#Dark correction=	Off
#Inst. Process=	Off
#Instrument=	LabRAM HR Evol
#Detector=	Syncerity OE
#Objective=	x100_VIS
#Grating=	600 (500nm)
#ND Filter=	50%
#Laser=	633nm_Edge
#Hole=	100.021
#Range=	Visible
#Project=	Omar
#Sample=	CM
#Site=	11-05-23
#Title=	CO
#Remark=	ch1
#Date=	11.05.2023 16:27
#Acquired=	11.05.2023 16:27:32
50.1258	10071
51.4176	10104
52.7092	10299
54.0021	10657
55.2932	11575
56.5841	13376
57.8748	15940
59.1669	18724
60.4572	20799
61.7472	21984
63.0371	22504
64.3283	22617
65.6177	22558
66.907	22680
68.196	22871
69.4848	23036
70.7734	23179
72.0633	23288
73.3515	23344
74.6395	23414
75.9272	23479
77.2148	23599
78.5021	23778
79.7892	23855
81.0761	24025
82.3644	24035
83.6509	24167
84.9371	24173
86.2232	24280
87.5091	24207
88.7947	24380
90.0802	24459
91.3654	24571
92.6504	24708
93.9352	24754
95.2198	24889
96.5042	24943
97.7884	25139
99.0724	25205
100.356	25338
101.64	25537
102.923	25624
104.206	25618
105.489	25818
106.772	25827
108.054	25970
109.337	25981
110.619	26040
111.901	26181
113.182	26211
114.464	26302
115.745	26507
117.024	26536
118.305	26586
119.586	26569
120.866	26729
122.147	26743
123.426	26826
124.706	27161
125.986	27204
127.264	27184
128.543	27377
129.822	27430
131.101	27485
132.379	27529
133.657	27715
134.934	27779
136.212	27851
137.49	28032
138.767	27939
140.043	28160
141.32	28038
142.597	28229
143.873	28288
145.148	28200
146.425	28388
147.701	28398
148.977	28530
150.251	28488
151.526	28529
152.801	28553
154.075	28841
155.35	28829
156.624	28820
157.897	29040
159.171	29150
160.445	29157
161.717	29342
162.991	29275
164.264	29573
165.536	29472
166.809	29497
168.081	29630
169.353	29634
170.625	29723
171.895	29906
173.167	29832
174.437	30049
175.709	30093
176.98	30090
178.25	30168
179.521	30196
180.79	30388
182.06	30364
183.329	30693
184.599	30677
185.867	30692
187.137	30834
188.405	30994
189.674	31132
190.942	31355
192.21	31254
193.477	31363
194.746	31290
196.012	31529
197.279	31533
198.547	31582
199.813	31803
201.08	31991
202.346	31972
203.613	32036
204.878	32117
206.143	32367
207.409	32350
208.674	32535
209.938	32625
211.204	32593
212.468	32796
213.732	32923
214.997	32935
216.26	32980
217.523	33280
218.788	33258
220.051	33330
221.313	33381
222.577	33412
223.839	33605
225.101	33830
226.363	33803
227.626	33879
228.887	34223
230.149	34218
231.41	34327
232.672	34380
233.932	34580
235.193	34803
236.453	34850
237.714	34771
238.974	34874
240.233	35010
241.493	34915
242.752	35189
244.011	35282
245.271	35326
246.529	35268
247.788	35518
249.046	35573
250.304	35460
251.561	35462
252.819	35647
254.076	35653
255.333	35655
256.591	35692
257.848	35621
259.105	35709
260.361	35987
261.617	35828
262.873	35822
264.128	35849
265.384	36039
266.639	36110
267.894	35928
269.149	36113
270.404	36269
271.658	36064
272.912	36429
274.166	36306
275.42	36219
276.674	36393
277.927	36633
279.18	36680
280.433	36915
281.686	36650
282.939	37053
284.19	37161
285.442	37150
286.694	37382
287.946	37521
289.197	37529
290.449	37782
291.7	37716
292.951	37935
294.2	37969
295.451	37976
296.701	38032
297.951	38412
299.201	38388
300.451	38477
301.699	38564
302.949	38610
304.198	38686
305.447	38713
306.696	38967
307.943	38783
309.191	38725
310.439	38964
311.687	39097
312.933	39209
314.181	39088
315.428	39089
316.676	39208
317.921	39338
319.168	39439
320.414	39155
321.659	39323
322.905	39443
324.151	39396
325.396	39606
326.641	39460
327.887	39617
329.13	39764
330.375	39799
331.62	39798
332.863	39980
334.108	39898
335.35	40053
336.594	40106
337.837	40121
339.08	40126
340.323	40346
341.565	40395
342.808	40454
344.049	40547
345.292	40726
346.533	40846
347.775	40913
349.016	40897
350.257	40912
351.497	40823
352.739	40934
353.979	41078
355.219	41016
356.459	41296
357.699	41084
358.938	41185
360.178	41303
361.417	41412
362.657	41312
363.895	41473
365.133	41438
366.372	41432
367.609	41444
368.848	41206
370.085	41335
371.322	41373
372.561	41339
373.797	41410
375.033	41206
376.271	41271
377.507	41389
378.743	41385
379.98	41355
381.215	41244
382.45	41448
383.686	41483
384.921	41427
386.156	41411
387.39	41469
388.626	41575
389.86	41511
391.093	41757
392.327	41736
393.562	41770
394.795	41733
396.028	41999
397.261	42042
398.493	41995
399.727	42219
400.959	42379
402.191	42354
403.423	42531
404.655	42666
405.886	42782
407.119	42764
408.35	42975
409.581	43117
410.811	43317
412.042	43158
413.272	43382
414.502	43501
415.732	43515
416.963	43781
418.192	43793
419.421	43724
420.65	43833
421.879	43847
423.108	44035
424.336	44129
